Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,97.2753220878,21.8035813059,15.2541877231,0.380783204346,4.12243109448,15.9888894789,95.0221650629,92.030434645,2.97173041782,0.02
 01/02  02:00:00,86.6215061109,17.9390481456,12.7877807033,0.345374624347,4.12243109448,15.9888894789,81.8354290529,78.8436986351,2.97173041782,0.02
 01/02  03:00:00,101.132747073,23.0003175387,15.1260791179,1.28958927002,4.12243109448,15.9888894789,102.824387069,99.832656651,2.97173041782,0.02
 01/02  04:00:00,87.5083472273,18.4002540309,11.4027564172,1.61641647197,4.12243109448,15.9888894789,83.9779081165,80.9861776987,2.97173041782,0.02
 01/02  05:00:00,131.388636386,27.7541163415,16.8681292415,2.23656738586,12.3672932834,24.9413748627,118.065960219,113.09307619,4.9528840297,0.02
 01/02  06:00:00,160.908652259,28.5998462677,19.4552172886,27.7481170521,12.3672932834,24.9413748627,184.656325842,179.683441813,4.9528840297,0.02
 01/02  07:00:00,208.203882667,29.1149993192,18.793625064,22.5556474993,24.7345865669,70.7195625826,151.242322741,141.316554682,9.90576805939,0.02
 01/02  08:00:00,218.504186446,29.2543801153,19.5287286372,14.0120240906,37.1018798503,92.3937384068,129.842216559,119.9164485,9.90576805939,0.02
 01/02  09:00:00,221.280752903,29.3777631374,23.164649186,9.10933663258,37.1018798503,104.434947198,120.819850155,110.894082096,9.90576805939,0.02
 01/02  10:00:00,237.469908703,29.5612642621,30.1902830085,6.2340909596,37.1018798503,116.476155989,117.721679853,103.05456322,9.90576805939,4.7613485736
 01/02  11:00:00,248.603718804,29.9438242662,44.2305530873,4.48325276732,37.1018798503,116.476155989,110.434673662,96.6466030829,9.90576805939,3.88230251945
 01/02  12:00:00,261.91647443,30.3775330973,58.4521205088,3.23599232765,37.1018798503,116.476155989,101.590810485,91.6650424259,9.90576805939,0.02
 01/02  13:00:00,261.193364822,30.8126408296,67.2869170519,1.84972385654,37.1018798503,104.434947198,106.040529163,87.5096684178,9.90576805939,8.62509268537
 01/02  14:00:00,275.996716359,31.0945154358,70.9444189183,1.02060677006,37.1018798503,116.476155989,94.7307574579,84.8049893986,9.90576805939,0.02
 01/02  15:00:00,279.204357172,31.3180674372,73.6054400811,0.618378694468,37.1018798503,116.476155989,92.6938304257,82.7680623663,9.90576805939,0.02
 01/02  16:00:00,281.037458752,31.2775871106,73.2243896359,0.414942718919,37.1018798503,116.476155989,100.771369915,82.2393832778,9.90576805939,8.62621857825
 01/02  17:00:00,267.961205512,30.7672344974,64.1298057476,0.478429404102,37.1018798503,116.476155989,96.345138949,86.4193708896,9.90576805939,0.02
 01/02  18:00:00,258.532740149,30.2856928805,50.3973150695,0.779639359293,37.1018798503,116.476155989,101.092121823,91.1663537635,9.90576805939,0.02
 01/02  19:00:00,162.24897378,27.6003810464,29.7143932405,0.0,24.7345865669,47.5788473902,85.6251577502,72.0647886831,4.9528840297,8.60748503737
 01/02  20:00:00,163.798578193,28.4074913457,26.0570093673,0.0,24.7345865669,47.5788473902,83.8997783875,78.9268943578,4.9528840297,0.02
 01/02  21:00:00,139.493676018,26.6779692758,22.1047498122,0.0,12.3672932834,38.6892022431,98.254135614,95.2624051962,2.97173041782,0.02
 01/02  22:00:00,98.5080849751,16.6524698049,12.4507322151,0.0,12.3672932834,27.0668015668,66.2309274693,63.2391970515,2.97173041782,0.02
 01/02  23:00:00,95.9871222425,21.8473028254,15.4599057966,0.0,4.12243109448,15.9888894789,95.2290052147,92.2372747969,2.97173041782,0.02
 01/02  24:00:00,89.9830770654,18.7692187392,12.7268430428,0.17868189513,4.12243109448,15.9888894789,78.7533197818,75.761589364,2.97173041782,0.02
 01/03  01:00:00,104.423344966,22.5391116534,15.6794721131,0.272677567079,4.12243109448,15.9888894789,99.7828787534,96.7911483356,2.97173041782,0.02
 01/03  02:00:00,90.6224934351,17.9390481456,12.3701382885,0.35327280395,4.12243109448,15.9888894789,81.3582126845,78.3664822667,2.97173041782,0.02
 01/03  03:00:00,103.647219943,23.0003175387,14.5681710738,1.35263679866,4.12243109448,15.9888894789,102.670273267,99.6785428493,2.97173041782,0.02
 01/03  04:00:00,91.7041805341,18.6308569736,11.5537928183,2.0461082385,4.12243109448,15.9888894789,83.737504749,80.7457743311,2.97173041782,0.02
 01/03  05:00:00,133.83023987,27.4466457513,16.7062778759,1.67672221494,12.3672932834,24.9413748627,117.711403142,112.738519113,4.9528840297,0.02
 01/03  06:00:00,164.102129999,28.5985032591,21.1709590693,27.7638774287,12.3672932834,24.9413748627,184.546036085,179.573152055,4.9528840297,0.02
 01/03  07:00:00,207.643893886,29.1181117853,21.6854302575,21.7044699446,24.7345865669,70.7195625826,150.43573243,140.509964371,9.90576805939,0.02
 01/03  08:00:00,218.099284528,29.2729074015,23.5596105659,12.7890144186,37.1018798503,92.3937384068,128.685048753,118.759280694,9.90576805939,0.02
 01/03  09:00:00,227.09408398,29.4123784778,32.2793877991,7.84469981077,37.1018798503,104.434947198,127.676900621,109.150221397,9.90576805939,8.62091116414
 01/03  10:00:00,250.130812481,29.6633936857,49.920808892,4.87815689589,37.1018798503,116.476155989,110.975842279,101.05007422,9.90576805939,0.02
 01/03  11:00:00,255.373748238,30.0332612161,57.6325038941,3.40620728597,37.1018798503,116.476155989,105.269895284,95.3441272248,9.90576805939,0.02
 01/03  12:00:00,262.067775113,30.3962738467,60.6133003943,2.46004522558,37.1018798503,116.476155989,109.811143355,91.2764474674,9.90576805939,8.62892782819
 01/03  13:00:00,257.126988602,30.7624908172,63.2503636456,1.51397688299,37.1018798503,104.434947198,97.6893556892,87.7635876298,9.90576805939,0.02
 01/03  14:00:00,272.474703264,31.0133092651,64.3319620969,1.06198724588,37.1018798503,116.476155989,103.591288364,85.056604869,9.90576805939,8.6289154356
 01/03  15:00:00,274.583671449,31.2023284501,64.9147076594,0.800026607337,37.1018798503,116.476155989,92.9248186846,82.9990506252,9.90576805939,0.02
 01/03  16:00:00,270.129991844,31.1458662991,64.6060656328,0.644937782888,37.1018798503,116.476155989,93.1238655701,83.1980975107,9.90576805939,0.02
 01/03  17:00:00,263.394359052,30.6270673818,55.3663603868,0.78161563671,37.1018798503,116.476155989,105.611790296,87.0834870129,9.90576805939,8.62253522358
 01/03  18:00:00,254.221977347,30.1570347761,37.6791220545,1.11425926031,37.1018798503,116.476155989,101.449642201,91.5238741419,9.90576805939,0.02
 01/03  19:00:00,161.914784771,27.4850795751,24.7935075965,0.0,24.7345865669,47.5788473902,77.8048050058,72.8319209761,4.9528840297,0.02
 01/03  20:00:00,161.310288008,28.2921898743,22.3531858293,0.0,24.7345865669,47.5788473902,84.9401880548,79.9673040251,4.9528840297,0.02
 01/03  21:00:00,135.981405443,26.6779692758,19.9072748594,0.0,12.3672932834,38.6892022431,99.4680525376,96.4763221198,2.97173041782,0.02
 01/03  22:00:00,108.88356784,20.148038257,14.0289304595,0.0,12.3672932834,27.0668015668,81.5041812858,78.512450868,2.97173041782,0.02
 01/03  23:00:00,83.2696919834,17.5700834374,11.7854929373,0.0,4.12243109448,15.9888894789,77.2755868397,74.2838564219,2.97173041782,0.02
 01/03  24:00:00,98.0861544221,22.769714596,14.0377439132,0.246037965319,4.12243109448,15.9888894789,99.0953148997,96.1035844818,2.97173041782,0.02
 01/04  01:00:00,85.8000838629,18.492495208,10.7588809167,0.845082786797,4.12243109448,15.9888894789,80.9483198433,77.9565894255,2.97173041782,0.02
 01/04  02:00:00,96.7127951662,22.3085087107,13.1105874083,0.631482525342,4.12243109448,15.9888894789,102.641745187,99.6500147696,2.97173041782,0.02
 01/04  03:00:00,88.2596982398,19.0920628589,10.068248692,2.95066479486,4.12243109448,15.9888894789,83.5709692301,80.5792388123,2.97173041782,0.02
 01/04  04:00:00,104.08422302,23.6921263666,12.6073854175,4.74148456324,4.12243109448,15.9888894789,104.793423166,101.801692748,2.97173041782,0.02
 01/04  05:00:00,134.167823404,28.522792817,14.6466006613,5.41737012956,12.3672932834,24.9413748627,118.858596595,113.885712566,4.9528840297,0.02
 01/04  06:00:00,159.087842415,28.1015102833,18.1403375683,27.410822316,12.3672932834,24.9413748627,195.523372765,181.96871212,4.9528840297,8.60177661541
 01/04  07:00:00,213.464723089,29.0998745741,18.3818474982,26.2498842291,24.7345865669,70.7195625826,152.461529437,142.535761378,9.90576805939,0.02
 01/04  08:00:00,223.886146624,29.1976705851,19.524488482,16.8265522622,37.1018798503,92.3937384068,130.734566879,120.808798819,9.90576805939,0.02
 01/04  09:00:00,229.899349018,29.2994540473,23.3467734069,11.3297110285,37.1018798503,104.434947198,121.588132017,111.662363958,9.90576805939,0.02
 01/04  10:00:00,245.450165236,29.4432151057,32.0710804504,7.62527310243,37.1018798503,116.476155989,113.881137411,103.955369352,9.90576805939,0.02
 01/04  11:00:00,253.591710983,29.7412158591,42.0792731616,5.50036407506,37.1018798503,116.476155989,116.003245196,97.4697842079,9.90576805939,8.62769292851
 01/04  12:00:00,263.829215746,30.1226337051,54.756221474,4.08979700395,37.1018798503,116.476155989,102.662698949,92.73693089,9.90576805939,0.02
 01/04  13:00:00,257.941995856,30.5469881654,59.8354939706,2.65886230154,37.1018798503,104.434947198,106.924560632,88.3937536577,9.90576805939,8.625038915
 01/04  14:00:00,270.06164298,30.8164950277,60.6166262391,1.57906603123,37.1018798503,116.476155989,95.8233892267,85.8976211673,9.90576805939,0.02
 01/04  15:00:00,271.929139176,31.0405418618,63.1005182942,1.0386302637,37.1018798503,116.476155989,93.8372815837,83.9115135243,9.90576805939,0.02
 01/04  16:00:00,272.048264318,30.9863545443,62.4943440985,0.797166223835,37.1018798503,116.476155989,102.317436117,83.7853839092,9.90576805939,8.6262841483
 01/04  17:00:00,258.472998328,30.511101767,53.8304415995,0.905040521625,37.1018798503,116.476155989,98.0127420037,88.0869739443,9.90576805939,0.02
 01/04  18:00:00,250.3617286,30.0746042911,37.6074020715,1.21003125481,37.1018798503,116.476155989,102.518567322,92.5927992626,9.90576805939,0.02
 01/04  19:00:00,155.595307472,27.4850795751,25.901660471,0.0,24.7345865669,47.5788473902,78.6182057068,73.6453216771,4.9528840297,0.02
 01/04  20:00:00,156.935556331,28.2921898743,22.9995969838,0.0,24.7345865669,47.5788473902,85.626159714,80.6532756843,4.9528840297,0.02
 01/04  21:00:00,129.505483902,26.2167633905,19.900635216,0.0,12.3672932834,38.6892022431,108.678525946,97.0992871716,2.97173041782,8.60750835701
 01/04  22:00:00,107.080203706,20.6092441423,14.1324991173,0.0,12.3672932834,27.0668015668,82.9402571677,79.9485267498,2.97173041782,0.02
 01/04  23:00:00,84.1095654991,17.4778422604,11.7902944263,0.0,4.12243109448,15.9888894789,77.4415255037,74.4497950859,2.97173041782,0.02
 01/04  24:00:00,99.8819519864,23.0771851862,13.5651127991,0.500675591912,4.12243109448,15.9888894789,99.2474040079,96.2556735901,2.97173041782,0.02
 01/05  01:00:00,86.4070034685,17.7545657915,10.5222193644,0.128813367122,4.12243109448,15.9888894789,81.5738459767,78.5821155589,2.97173041782,0.02
 01/05  02:00:00,101.294751734,22.769714596,13.4594492944,1.21280547705,4.12243109448,15.9888894789,102.571749611,99.5800191932,2.97173041782,0.02
 01/05  03:00:00,88.5634803132,18.6769775621,10.4098829839,2.22111552292,4.12243109448,15.9888894789,83.7233637678,80.73163335,2.97173041782,0.02
 01/05  04:00:00,105.518312857,24.0610910748,12.8147847271,5.78656514395,4.12243109448,15.9888894789,105.578004178,102.58627376,2.97173041782,0.02
 01/05  05:00:00,130.489244905,28.0615869317,14.0325323784,4.67936774429,12.3672932834,24.9413748627,119.378121784,114.405237754,4.9528840297,0.02
 01/05  06:00:00,164.001599433,28.5750362469,17.0846147413,33.6764007212,12.3672932834,24.9413748627,186.968756484,181.995872454,4.9528840297,0.02
 01/05  07:00:00,213.017869452,29.0877576585,17.4026230128,26.6540976023,24.7345865669,70.7195625826,153.12266453,143.19689647,9.90576805939,0.02
 01/05  08:00:00,224.470408269,29.1876469014,18.5531305466,17.3787793834,37.1018798503,92.3937384068,131.160723795,121.234955735,9.90576805939,0.02
 01/05  09:00:00,227.847923861,29.2862656273,22.7543663443,11.624217965,37.1018798503,104.434947198,121.853653188,111.927885128,9.90576805939,0.02
 01/05  10:00:00,241.776737192,29.4584464391,31.8051632851,7.75797970933,37.1018798503,116.476155989,122.274176566,103.744676744,9.90576805939,8.62373176231
 01/05  11:00:00,251.358430938,29.7781057335,42.1445693038,5.72551480244,37.1018798503,116.476155989,107.072272516,97.1465044564,9.90576805939,0.02
 01/05  12:00:00,261.347246979,30.1674666134,50.816126306,4.54014397565,37.1018798503,116.476155989,110.82037771,92.2869903912,9.90576805939,8.62761925922
 01/05  13:00:00,256.36832298,30.557977491,57.2545912902,3.09553541207,37.1018798503,104.434947198,98.3118095294,88.38604147,9.90576805939,0.02
 01/05  14:00:00,272.62763169,30.8347511113,62.587994759,1.65827420574,37.1018798503,116.476155989,95.4968563416,85.5710882822,9.90576805939,0.02
 01/05  15:00:00,269.953721363,30.8111383366,63.7143037914,0.955059085922,37.1018798503,116.476155989,104.191748985,85.6583078647,9.90576805939,8.62767306138
 01/05  16:00:00,265.830550402,30.7818590246,61.7664876795,0.698667040563,37.1018798503,116.476155989,95.6401563518,85.7143882925,9.90576805939,0.02
 01/05  17:00:00,263.943602231,30.3933527003,53.5221520924,0.820760607988,37.1018798503,116.476155989,98.456948851,88.5311807916,9.90576805939,0.02
 01/05  18:00:00,248.956733799,30.0325277715,37.5875746441,1.1586551155,37.1018798503,116.476155989,111.337695498,92.8185534225,9.90576805939,8.61337401614
 01/05  19:00:00,153.473053935,27.4850795751,25.9128317886,0.0,24.7345865669,47.5788473902,78.9471891159,73.9743050862,4.9528840297,0.02
 01/05  20:00:00,153.14652817,28.2921898743,23.8494197736,0.0,24.7345865669,47.5788473902,85.7417716025,80.7688875728,4.9528840297,0.02
 01/05  21:00:00,123.453785514,26.6779692758,20.959897206,0.0,12.3672932834,38.6892022431,100.300557375,97.3088269571,2.97173041782,0.02
 01/05  22:00:00,91.7426893841,17.5263619179,13.1416668026,0.0,12.3672932834,27.0668015668,70.261155387,67.2694249692,2.97173041782,0.02
 01/05  23:00:00,90.612475291,21.8473028254,17.2320338772,0.0,4.12243109448,15.9888894789,95.574484078,92.5827536602,2.97173041782,0.02
 01/05  24:00:00,82.5961739703,18.7692187392,13.8839660519,0.18264936982,4.12243109448,15.9888894789,79.2031105487,76.2113801309,2.97173041782,0.02
 01/06  01:00:00,91.9059182451,22.0779057681,16.7996415534,0.0275972681809,4.12243109448,15.9888894789,100.621777713,97.6300472947,2.97173041782,0.02
 01/06  02:00:00,82.0753417341,18.4002540309,13.1055432494,0.451683845089,4.12243109448,15.9888894789,81.2716754771,78.2799450593,2.97173041782,0.02
 01/06  03:00:00,93.4031002876,23.0464381272,15.4068127898,1.24462554306,4.12243109448,15.9888894789,103.317555998,100.325825581,2.97173041782,0.02
 01/06  04:00:00,84.4028902909,17.9390481456,12.202310608,0.648946979362,4.12243109448,15.9888894789,83.7731633236,80.7814329058,2.97173041782,0.02
 01/06  05:00:00,130.88987405,28.3690575219,16.5426137994,2.98502079789,12.3672932834,24.9413748627,117.861703262,112.888819232,4.9528840297,0.02
 01/06  06:00:00,151.177882183,28.1250119561,19.1018987591,22.799930833,12.3672932834,24.9413748627,185.679251017,180.706366987,4.9528840297,0.02
 01/06  07:00:00,200.591865408,29.1166675671,18.2100299838,23.197912266,24.7345865669,70.7195625826,152.357924178,142.432156118,9.90576805939,0.02
 01/06  08:00:00,216.226060267,29.2499165185,19.675206592,14.662008332,37.1018798503,92.3937384068,139.105685292,120.592795413,9.90576805939,8.60712181949
 01/06  09:00:00,224.586495282,29.3777484414,24.2099878473,9.33427018257,37.1018798503,104.434947198,120.486469295,110.560701235,9.90576805939,0.02
 01/06  10:00:00,237.563562749,29.5778766277,32.983848774,6.2453639944,37.1018798503,116.476155989,112.794042374,102.868274314,9.90576805939,0.02
 01/06  11:00:00,237.943381446,29.9360171699,42.3764242092,4.51600944013,37.1018798503,116.476155989,115.869291783,97.3357448013,9.90576805939,8.62777892211
 01/06  12:00:00,252.145415468,30.3494268027,53.5378653221,3.34363276388,37.1018798503,116.476155989,102.450336619,92.5245685598,9.90576805939,0.02
 01/06  13:00:00,248.489337879,30.73016624,60.1810620876,1.93612647654,37.1018798503,104.434947198,98.6120866816,88.6863186222,9.90576805939,0.02
 01/06  14:00:00,254.728702882,31.0337473236,64.4559702419,1.05842011386,37.1018798503,116.476155989,105.047079133,86.5121908103,9.90576805939,8.62912026341
 01/06  15:00:00,255.706696207,31.1552690012,65.8737733556,0.625678411725,37.1018798503,116.476155989,95.1673539115,85.2415858521,9.90576805939,0.02
 01/06  16:00:00,257.144026472,31.1155175909,65.9376488256,0.38871694736,37.1018798503,116.476155989,103.47905256,84.9486817219,9.90576805939,8.62460277838
 01/06  17:00:00,257.057624663,30.6926597909,61.3710134716,0.420524330891,37.1018798503,116.476155989,97.6861982063,87.7604301469,9.90576805939,0.02
 01/06  18:00:00,253.764970922,30.2687074677,49.9804724958,0.690059562734,37.1018798503,116.476155989,101.534303852,91.6085357926,9.90576805939,0.02
 01/06  19:00:00,152.752242013,27.6003810464,29.8587190828,0.0,24.7345865669,47.5788473902,77.6397894347,72.666905405,4.9528840297,0.02
 01/06  20:00:00,143.757792631,28.4074913457,24.8457776229,0.0,24.7345865669,47.5788473902,85.2913685877,80.318484558,4.9528840297,0.02
 01/06  21:00:00,116.198716689,27.1391751611,20.9576509857,0.0,12.3672932834,38.6892022431,100.260479054,97.2687486359,2.97173041782,0.02
 01/06  22:00:00,85.3586613094,16.1912639196,12.5793371654,0.0,12.3672932834,27.0668015668,78.9415825146,67.3650489457,2.97173041782,8.6048031511
 01/06  23:00:00,75.4576886195,22.0010381205,15.4056586756,0.0,4.12243109448,15.9888894789,96.9881733978,93.9964429799,2.97173041782,0.02
 01/06  24:00:00,70.9895922295,18.4002540309,11.8306028989,0.0774801323297,4.12243109448,15.9888894789,79.8751132931,76.8833828753,2.97173041782,0.02
 01/07  01:00:00,82.4034438899,23.2309204813,14.0391298977,0.783614802497,4.12243109448,15.9888894789,102.143910125,99.1521797073,2.97173041782,0.02
 01/07  02:00:00,72.093280847,17.4778422604,11.045893295,0.0,4.12243109448,15.9888894789,83.3501545981,80.3584241803,2.97173041782,0.02
 01/07  03:00:00,89.7595055185,23.2309204813,12.8586823931,1.82928672962,4.12243109448,15.9888894789,104.109490147,101.117759729,2.97173041782,0.02
 01/07  04:00:00,84.0325641,18.4002540309,10.630957542,1.72787276879,4.12243109448,15.9888894789,84.6092597681,81.6175293503,2.97173041782,0.02
 01/07  05:00:00,110.86610764,27.8309839891,15.0997691897,3.70923862392,4.12243109448,16.0517297156,125.142671222,122.150940804,2.97173041782,0.02
 01/07  06:00:00,114.966009138,28.522792817,15.7936057231,6.84105523989,4.12243109448,16.0517297156,126.224054328,123.23232391,2.97173041782,0.02
 01/07  07:00:00,139.488761257,28.9839987023,16.625206685,9.99534488329,4.12243109448,39.6058045677,106.648754588,103.65702417,2.97173041782,0.02
 01/07  08:00:00,193.182571865,29.0077161434,20.5922667852,38.3219092285,12.3672932834,65.3531420225,161.305944615,156.333060585,4.9528840297,0.02
 01/07  09:00:00,185.045981663,29.0024521161,22.3821770778,27.7290481628,12.3672932834,68.2430321324,154.432194726,149.459310696,4.9528840297,0.02
 01/07  10:00:00,203.450579938,29.0291272303,25.9749768032,17.4962609137,16.4897243779,93.1370602926,140.371737411,132.427122963,7.92461444751,0.02
 01/07  11:00:00,196.313165053,29.0712654409,35.7267772594,13.2181706668,16.4897243779,93.1370602926,133.82819815,125.883583702,7.92461444751,0.02
 01/07  12:00:00,195.654652963,29.15866967,45.1610946183,11.0586188156,16.4897243779,93.1370602926,138.575162238,122.038977147,7.92461444751,8.61157064401
 01/07  13:00:00,188.599665773,29.2958628344,48.6411875638,9.53799020194,16.4897243779,83.9857416113,126.703429533,118.758815086,7.92461444751,0.02
 01/07  14:00:00,190.104356924,29.3988308285,51.838055992,7.74285480956,16.4897243779,83.9857416113,124.053297095,116.108682647,7.92461444751,0.02
 01/07  15:00:00,192.68050638,29.4849858262,55.8962351064,6.17471541967,16.4897243779,83.9857416113,121.565424684,113.620810237,7.92461444751,0.02
 01/07  16:00:00,165.08794234,28.9839987023,52.4362657612,0.0,12.3672932834,70.6512738906,64.1791154837,59.206231454,4.9528840297,0.02
 01/07  17:00:00,164.775272605,28.9839987023,47.42525513,0.0,12.3672932834,70.6512738906,66.2992378362,61.3263538065,4.9528840297,0.02
 01/07  18:00:00,150.746172404,28.9839987023,36.5229878687,0.0,12.3672932834,58.1284167478,74.3265444248,69.3536603951,4.9528840297,0.02
 01/07  19:00:00,104.446995216,26.2167633905,26.1785365067,0.0,12.3672932834,24.9413748627,99.0493966115,94.0765125818,4.9528840297,0.02
 01/07  20:00:00,101.913803808,26.4473663332,23.2822492254,0.0,12.3672932834,24.9413748627,107.04995222,102.077068191,4.9528840297,0.02
 01/07  21:00:00,85.4232269447,27.1391751611,19.8355957111,0.0112839855163,4.12243109448,16.0517297156,117.058229027,114.066498609,2.97173041782,0.02
 01/07  22:00:00,74.6474465,20.0995185994,14.8787724383,0.0,4.12243109448,15.9888894789,97.2555605137,94.2638300959,2.97173041782,0.02
 01/07  23:00:00,68.3838484065,17.4778422604,12.0907731561,0.0,4.12243109448,15.9888894789,85.914291178,82.9225607602,2.97173041782,0.02
 01/07  24:00:00,77.0557505666,21.8473028254,14.9600046609,0.0,4.12243109448,15.9888894789,116.955988382,105.383952745,2.97173041782,8.60030521965
 01/08  01:00:00,68.4889941525,17.9390481456,11.7297487513,0.503119697761,2.06121554724,15.9888894789,88.1936143182,85.2018839004,2.97173041782,0.02
 01/08  02:00:00,84.0388511331,22.769714596,13.7355678615,1.45187408064,2.06121554724,15.9888894789,109.21218935,106.220458933,2.97173041782,0.02
 01/08  03:00:00,77.565690724,18.6769775621,11.3668396548,2.72944804519,2.06121554724,15.9888894789,88.519630115,85.5278996972,2.97173041782,0.02
 01/08  04:00:00,91.0246015018,24.0610910748,13.2008658474,7.31171169609,2.06121554724,15.9888894789,111.887424663,108.895694245,2.97173041782,0.02
 01/08  05:00:00,80.6647394694,19.3226658015,9.647219563,8.04290410715,2.06121554724,15.9888894789,91.0974966409,88.1057662231,2.97173041782,0.02
 01/08  06:00:00,97.8787987581,24.1533322519,12.0630740566,11.74780797,2.06121554724,15.9888894789,114.121280929,111.129550511,2.97173041782,0.02
 01/08  07:00:00,84.9740321336,19.3226658015,9.26138130979,10.6375187256,2.06121554724,15.9888894789,92.3491104982,89.3573800804,2.97173041782,0.02
 01/08  08:00:00,82.2188315209,24.1533322519,12.6543418732,11.396130447,2.06121554724,15.9888894789,113.427456416,110.435725998,2.97173041782,0.02
 01/08  09:00:00,89.8362926105,19.0920628589,12.805847959,4.18835987122,4.12243109448,41.7362269337,86.4992430866,81.5263590569,4.9528840297,0.02
 01/08  10:00:00,100.580900311,23.2309204813,23.1990640144,2.47379226875,4.12243109448,41.7362269337,99.8881051426,94.9152211129,4.9528840297,0.02
 01/08  11:00:00,92.2434694434,17.8468069686,23.2056159157,0.182301387122,4.12243109448,41.7362269337,77.9591529289,72.9862688992,4.9528840297,0.02
 01/08  12:00:00,123.201965006,24.1533322519,40.7969259044,2.13584509277,4.12243109448,41.7362269337,92.9340792369,87.9611952072,4.9528840297,0.02
 01/08  13:00:00,114.664292328,19.3229484851,35.0317377108,1.09140189917,4.12243109448,41.7362269337,73.6995337262,68.7266496965,4.9528840297,0.02
 01/08  14:00:00,140.515663294,24.1535229662,44.9505563691,0.909837045726,4.12243109448,41.7362269337,89.0775763758,84.1046923461,4.9528840297,0.02
 01/08  15:00:00,117.127489239,19.3231555187,35.0981962984,0.390647162352,4.12243109448,41.7362269337,72.3469943368,67.3741103071,4.9528840297,0.02
 01/08  16:00:00,132.281639015,24.1534668701,41.6963923427,0.429389814078,4.12243109448,41.7362269337,88.9762371427,84.0033531131,4.9528840297,0.02
 01/08  17:00:00,93.3659842608,18.8614599162,28.4329027475,0.438960631653,4.12243109448,24.8785346261,75.7648467532,70.7919627235,4.9528840297,0.02
 01/08  18:00:00,74.0162936266,15.2931119778,18.2770508268,0.0,2.06121554724,15.9888894789,71.1235728093,68.1318423915,2.97173041782,0.02
 01/08  19:00:00,93.022866303,19.6625725429,22.7787314376,0.0,2.06121554724,15.9888894789,98.0724648676,95.0807344497,2.97173041782,0.02
 01/08  20:00:00,83.2387646594,17.4778422604,19.4380267586,0.0,2.06121554724,15.9888894789,87.5284119153,84.5366814975,2.97173041782,0.02
 01/08  21:00:00,88.7171319672,21.8473028254,22.649922553,0.0,2.06121554724,15.9888894789,111.310540759,108.318810342,2.97173041782,0.02
 01/08  22:00:00,76.0239374915,17.4778422604,16.4168893198,0.0,2.06121554724,15.9888894789,90.7393935448,87.747663127,2.97173041782,0.02
 01/08  23:00:00,88.980322777,21.8473028254,20.7616928093,0.0,2.06121554724,15.9888894789,113.220145637,110.228415219,2.97173041782,0.02
 01/08  24:00:00,79.4697640379,18.2157716768,15.3511974475,1.12938445313,2.06121554724,15.9888894789,91.7604518419,88.7687214241,2.97173041782,0.02
 01/09  01:00:00,91.855307253,22.3085087107,19.8781685028,0.9007160176,4.12243109448,15.9888894789,113.284525973,110.292795555,2.97173041782,0.02
 01/09  02:00:00,82.4668665056,18.8614599162,16.3458712139,2.77063308695,4.12243109448,15.9888894789,89.9751352152,86.9834047974,2.97173041782,0.02
 01/09  03:00:00,88.7739195009,21.8473028254,19.3759062525,0.0,4.12243109448,15.9888894789,113.246851394,110.255120976,2.97173041782,0.02
 01/09  04:00:00,82.4941707481,18.8614599162,15.5527269189,3.59383212554,4.12243109448,15.9888894789,90.6323806143,87.6406501965,2.97173041782,0.02
 01/09  05:00:00,121.764183764,28.0308398727,20.2956939186,3.87807524868,12.3672932834,24.9413748627,137.07612001,123.521462088,4.9528840297,8.60177389268
 01/09  06:00:00,155.474145292,28.0819691121,21.4340691719,32.6421658585,12.3672932834,24.9413748627,197.655686739,192.682802709,4.9528840297,0.02
 01/09  07:00:00,208.816026522,29.0564145114,19.5917762161,31.0795538624,24.7345865669,70.7195625826,164.127217005,154.201448946,9.90576805939,0.02
 01/09  08:00:00,216.79071047,29.0920336375,20.086070015,19.4740483807,37.1018798503,92.3937384068,140.79036552,130.86459746,9.90576805939,0.02
 01/09  09:00:00,219.763738486,29.148663594,24.2069449622,13.4230999822,37.1018798503,104.434947198,130.729534589,120.80376653,9.90576805939,0.02
 01/09  10:00:00,231.635169928,29.2770454895,32.8990306972,9.38099172916,37.1018798503,116.476155989,122.594582809,112.668814749,9.90576805939,0.02
 01/09  11:00:00,242.937474507,29.5332410768,44.6913289638,7.10229150064,37.1018798503,116.476155989,124.120643595,105.586998744,9.90576805939,8.62787679257
 01/09  12:00:00,259.420930338,29.8674750091,55.0801972809,5.61052786991,37.1018798503,116.476155989,109.237758347,99.3119902876,9.90576805939,0.02
 01/09  13:00:00,257.138201588,30.2112218049,60.4964445235,3.9975239194,37.1018798503,104.434947198,112.96797359,94.4369114196,9.90576805939,8.62529411125
 01/09  14:00:00,268.17139745,30.4448423544,62.5280211143,2.49016991773,37.1018798503,116.476155989,101.422088272,91.4963202128,9.90576805939,0.02
