Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/20  05:00:00,101.593352957,27.3697781038,44.0047318844,0.0,4.12243109448,16.0517297156,109.228909924,106.237179506,2.97173041782,0.02
 05/20  06:00:00,132.306900487,28.9839987023,58.9466505962,0.0,4.12243109448,39.6058045677,87.8353140694,84.8435836516,2.97173041782,0.02
 05/20  07:00:00,184.343328961,29.0292207216,75.9032036051,1.04245376677,12.3672932834,65.3531420225,139.500607347,134.527723317,4.9528840297,0.02
 05/20  08:00:00,197.044140612,29.1541327061,86.2342838291,0.396647922352,12.3672932834,68.2430321324,128.178822866,123.205938836,4.9528840297,0.02
 05/20  09:00:00,231.461025062,29.412562211,91.6895445897,0.0830590213761,16.4897243779,93.1370602926,117.64317112,101.111724327,7.92461444751,8.60683234544
 05/20  10:00:00,237.381297878,29.6716971539,97.4336912296,0.0,16.4897243779,93.1370602926,98.9115181585,90.9669037109,7.92461444751,0.02
 05/20  11:00:00,245.272806995,29.9549173904,105.041998018,0.0,16.4897243779,93.1370602926,87.2367765556,79.2921621081,7.92461444751,0.02
 05/20  12:00:00,242.887955084,30.2465289902,111.517078223,0.0,16.4897243779,83.9857416113,73.6734820055,65.728867558,7.92461444751,0.02
 05/20  13:00:00,248.6930827,30.6237081223,116.945022518,0.0,16.4897243779,83.9857416113,62.9648455773,55.0202311298,7.92461444751,0.02
 05/20  14:00:00,254.876430963,30.9956772668,121.454544163,0.0,16.4897243779,83.9857416113,53.9409442256,45.996329778,7.92461444751,0.02
 05/20  15:00:00,228.854615162,28.9839987023,115.687864667,0.0,12.3672932834,70.6512738906,21.5188315276,16.5459474979,4.9528840297,0.02
 05/20  16:00:00,233.997843748,28.9839987023,119.970917741,0.0,12.3672932834,70.6512738906,15.8036288462,10.8307448165,4.9528840297,0.02
 05/20  17:00:00,224.916101086,28.9839987023,121.914901189,0.0,12.3672932834,58.1284167478,13.9123804687,8.93949643899,4.9528840297,0.02
 05/20  18:00:00,166.186498287,28.4855920315,99.499731717,0.0,12.3672932834,24.9413748627,32.6306262811,27.6577422514,4.9528840297,0.02
 05/20  19:00:00,163.70003585,28.106914827,90.588936851,0.0,12.3672932834,24.9413748627,51.8321754799,46.8592914502,4.9528840297,0.02
 05/20  20:00:00,148.499105137,28.562714019,85.0192142639,0.0,4.12243109448,16.0517297156,83.3565412873,80.3648108695,2.97173041782,0.02
 05/20  21:00:00,103.721137608,17.5757785558,51.5502133025,0.0,4.12243109448,15.9888894789,59.4498305357,56.4581001178,2.97173041782,0.02
 05/20  22:00:00,121.986024042,23.2798121302,63.9814706932,0.0,4.12243109448,15.9888894789,81.2029370589,78.2112066411,2.97173041782,0.02
 05/20  23:00:00,95.3055566917,17.4595801042,43.2508307866,0.0,4.12243109448,15.9888894789,63.3640705789,60.3723401611,2.97173041782,0.02
 05/20  24:00:00,110.955184872,22.7029327823,53.527510814,0.0,4.12243109448,15.9888894789,86.1452331466,83.1535027287,2.97173041782,0.02
 05/21  01:00:00,86.6497981998,15.8270973495,38.3319691948,0.0,2.06121554724,15.9888894789,68.3770870929,56.8037236457,2.97173041782,8.60163302936
 05/21  02:00:00,96.3736667568,21.2986539012,42.4330865822,0.0,2.06121554724,15.9888894789,88.5386653537,85.5469349359,2.97173041782,0.02
 05/21  03:00:00,79.4611503621,15.3658914642,31.6045273861,0.0,2.06121554724,15.9888894789,60.4447317885,57.4530013707,2.97173041782,0.02
 05/21  04:00:00,93.2789721551,20.3325206111,39.2699132552,0.0,2.06121554724,15.9888894789,88.3786338315,85.3869034137,2.97173041782,0.02
 05/21  05:00:00,66.6218138551,13.9385522888,24.6697546888,0.0,2.06121554724,15.9888894789,60.4219180064,57.4301875886,2.97173041782,0.02
 05/21  06:00:00,82.8421396331,23.0003175387,41.1882488118,0.0,2.06121554724,15.9888894789,98.4867425541,95.4950121363,2.97173041782,0.02
 05/21  07:00:00,82.4541390685,19.2304246245,43.629825742,0.0,2.06121554724,15.9888894789,73.2205482536,70.2288178358,2.97173041782,0.02
 05/21  08:00:00,143.020032372,24.1632199464,68.826281126,0.0,4.12243109448,41.7362269337,83.967853745,78.9949697153,4.9528840297,0.02
 05/21  09:00:00,133.259431075,19.3367587298,61.523583088,0.0,4.12243109448,41.7362269337,54.8023178987,49.829433869,4.9528840297,0.02
 05/21  10:00:00,160.583932896,24.1973487418,81.1655029986,0.0,4.12243109448,41.7362269337,54.1898466112,49.2169625815,4.9528840297,0.02
 05/21  11:00:00,143.672659327,19.350206231,66.6631867748,0.0,4.12243109448,41.7362269337,37.67225392,32.6993698903,4.9528840297,0.02
 05/21  12:00:00,170.907671501,24.2013468594,87.2189008915,0.0,4.12243109448,41.7362269337,38.2545179073,33.2816338776,4.9528840297,0.02
 05/21  13:00:00,149.469166794,19.3535665387,72.2108114392,0.0,4.12243109448,41.7362269337,24.4758121728,19.5029281431,4.9528840297,0.02
 05/21  14:00:00,171.183598851,24.2407470416,91.9090520861,0.0,4.12243109448,41.7362269337,27.6327795659,22.6598955362,4.9528840297,0.02
 05/21  15:00:00,148.734673245,19.3960155146,73.5457889017,0.0,4.12243109448,41.7362269337,22.605933143,17.6330491133,4.9528840297,0.02
 05/21  16:00:00,155.133148511,24.3261469827,92.7218256896,0.0,4.12243109448,24.8785346261,27.4399241367,22.467040107,4.9528840297,0.02
 05/21  17:00:00,122.822326462,19.3938686687,73.5520917531,0.0,2.06121554724,15.9888894789,23.4577303011,20.4659998833,2.97173041782,0.02
 05/21  18:00:00,142.380733053,24.269102468,90.7109403984,0.0,2.06121554724,15.9888894789,33.4480089492,30.4562785314,2.97173041782,0.02
 05/21  19:00:00,113.861177079,19.3647069333,65.8958333557,0.0,2.06121554724,15.9888894789,41.7396558896,38.7479254718,2.97173041782,0.02
 05/21  20:00:00,129.768772071,24.1971752865,72.072062602,0.0,2.06121554724,15.9888894789,80.0258672216,77.0341368038,2.97173041782,0.02
 05/21  21:00:00,99.8403096786,18.4552992255,48.5447900322,0.0,2.06121554724,15.9888894789,67.1908843499,64.199153932,2.97173041782,0.02
 05/21  22:00:00,111.940408594,23.2809269289,55.995956587,0.0,2.06121554724,15.9888894789,86.968843743,83.9771133252,2.97173041782,0.02
 05/21  23:00:00,91.9136643167,17.5749301473,41.3783133278,0.00362023392945,2.06121554724,15.9888894789,65.8502719265,62.8585415087,2.97173041782,0.02
 05/21  24:00:00,113.243624811,22.8566680774,53.0435157289,0.0102323736481,2.06121554724,15.9888894789,90.3083743089,87.3166438911,2.97173041782,0.02
 05/22  01:00:00,99.9605713656,17.5748815755,41.9884170458,0.00810991682719,4.12243109448,15.9888894789,66.3133319722,63.3216015544,2.97173041782,0.02
 05/22  02:00:00,112.949194301,21.3908950782,45.8990165679,0.00898671565873,4.12243109448,15.9888894789,87.4832492259,84.4915188081,2.97173041782,0.02
 05/22  03:00:00,85.4838498132,14.9969267559,29.5588816313,0.00790367800721,4.12243109448,15.9888894789,60.3026448413,57.3109144235,2.97173041782,0.02
 05/22  04:00:00,136.475868216,27.9924060489,51.1538749398,0.0,12.3672932834,24.9413748627,107.989252209,103.016368179,4.9528840297,0.02
 05/22  05:00:00,137.527311463,28.2082971915,53.809080006,3.39218662865,12.3672932834,24.9413748627,175.428023717,170.455139688,4.9528840297,0.02
 05/22  06:00:00,189.401431302,29.3776753012,61.628198774,0.906560545638,24.7345865669,70.7195625826,139.696932586,129.771164526,9.90576805939,0.02
 05/22  07:00:00,234.119801064,30.0133475896,73.9285315895,0.0336734299794,37.1018798503,92.3937384068,124.802780844,106.292356176,9.90576805939,8.60465660885
 05/22  08:00:00,263.076831509,30.6615789931,90.2282783209,0.0,37.1018798503,104.434947198,106.711571289,96.7858032297,9.90576805939,0.02
 05/22  09:00:00,289.913000301,31.3315589257,104.352955555,0.0,37.1018798503,116.476155989,87.5967535642,77.6709855048,9.90576805939,0.02
 05/22  10:00:00,301.117613597,32.0344731839,114.854163161,0.0,37.1018798503,116.476155989,62.9935733366,53.0678052772,9.90576805939,0.02
 05/22  11:00:00,311.540429013,32.7129046202,124.598342961,0.0,37.1018798503,116.476155989,43.4296650509,33.5038969915,9.90576805939,0.02
 05/22  12:00:00,318.146943748,33.4730547308,136.573229426,0.0,37.1018798503,104.434947198,32.5579059196,14.0372669476,9.90576805939,8.61487091264
 05/22  13:00:00,349.782745372,34.3548347729,147.002420134,0.0,37.1018798503,116.476155989,14.6041581005,4.67839004113,9.90576805939,0.02
 05/22  14:00:00,346.285719814,35.185604437,150.810248994,0.0,37.1018798503,116.476155989,12.2155699472,2.28980188778,9.90576805939,0.02
 05/22  15:00:00,343.702105155,35.8412634941,153.631980501,0.0,37.1018798503,116.476155989,11.3139202173,1.38815215794,9.90576805939,0.02
 05/22  16:00:00,343.458811996,36.178901332,153.051448995,0.0,37.1018798503,116.476155989,19.4952582952,0.976032160418,9.90576805939,8.61345807544
 05/22  17:00:00,344.212741055,36.3464958759,153.638695764,0.0,37.1018798503,116.476155989,10.8516704125,0.925902353068,9.90576805939,0.02
 05/22  18:00:00,205.006565081,28.4389083816,103.605574291,0.0,24.7345865669,47.5788473902,14.8269658972,9.85408186745,4.9528840297,0.02
 05/22  19:00:00,203.517942415,28.1683367594,95.3400214803,0.0,24.7345865669,47.5788473902,34.5873453309,29.6144613012,4.9528840297,0.02
 05/22  20:00:00,183.847983607,28.6380134912,89.4098216359,0.0,12.3672932834,38.6892022431,63.1255091078,60.13377869,2.97173041782,0.02
 05/22  21:00:00,128.600675369,20.2138830678,53.9085125862,0.0,12.3672932834,27.0668015668,60.8703813406,57.8786509228,2.97173041782,0.02
 05/22  22:00:00,109.087067686,19.7912896918,53.7168528059,0.0,4.12243109448,15.9888894789,61.5379905105,58.5462600926,2.97173041782,0.02
 05/22  23:00:00,125.427573107,23.6921979478,60.2448181899,0.0,4.12243109448,15.9888894789,79.7500730498,76.758342632,2.97173041782,0.02
 05/22  24:00:00,104.180148504,18.5640751598,45.3064963597,0.0,4.12243109448,15.9888894789,62.0732041494,59.0814737316,2.97173041782,0.02
 05/23  01:00:00,110.656816527,21.5984377266,46.5543885865,0.0,4.12243109448,15.9888894789,77.349539261,74.3578088432,2.97173041782,0.02
 05/23  02:00:00,97.117004155,17.9875678032,37.2589606457,0.0,4.12243109448,15.9888894789,64.8377007818,61.845970364,2.97173041782,0.02
 05/23  03:00:00,109.350339769,21.6214980209,45.2349133397,0.0,4.12243109448,15.9888894789,84.1022404974,81.1105100796,2.97173041782,0.02
 05/23  04:00:00,137.900234349,28.2921898743,57.5563613978,0.0,12.3672932834,24.9413748627,98.9881201339,94.0152361042,4.9528840297,0.02
 05/23  05:00:00,142.876741366,28.5781457851,64.9753292444,1.96991656147,12.3672932834,24.9413748627,166.058031606,161.085147577,4.9528840297,0.02
 05/23  06:00:00,204.834310881,29.4631360213,79.139164132,0.129846583194,24.7345865669,70.7195625826,123.650809897,113.725041838,9.90576805939,0.02
 05/23  07:00:00,248.173513901,30.5550312716,87.4742403233,0.0,37.1018798503,92.3937384068,85.1152917906,75.1895237312,9.90576805939,0.02
 05/23  08:00:00,267.788733454,31.1337219594,94.4679652064,0.0,37.1018798503,104.434947198,69.6665044209,51.1483023162,9.90576805939,8.61243404527
 05/23  09:00:00,288.773852713,31.6848700765,102.860507508,0.0,37.1018798503,116.476155989,45.0537020403,35.1279339809,9.90576805939,0.02
 05/23  10:00:00,297.156613604,32.3267593656,110.600927022,0.0,37.1018798503,116.476155989,36.0810095439,26.1552414845,9.90576805939,0.02
 05/23  11:00:00,305.662752825,32.9763006804,118.457326844,0.0,37.1018798503,116.476155989,27.9600268321,18.0342587727,9.90576805939,0.02
 05/23  12:00:00,302.230640301,33.6137583687,126.429339794,0.0,37.1018798503,104.434947198,20.3674648491,10.4416967897,9.90576805939,0.02
 05/23  13:00:00,320.510260526,34.3265777236,131.954560367,0.0,37.1018798503,116.476155989,27.1340671152,8.61132238822,9.90576805939,8.61697666758
 05/23  14:00:00,323.77675552,34.9535464437,134.594290201,0.0,37.1018798503,116.476155989,16.6493058665,6.72353780712,9.90576805939,0.02
